dati_definitivi_id	Sesso	Voto_LT	Voto_LM	Durata	Ricerca_PI	Tempo_PI	Fine_Studi	Major	Settore_PI	Phd	Luogo_PI	Retribuzione_PI	Cambio_Lavoro	Luogo_Phd	Retribuzione_Phd	PostDoc	Utilita_Phd	Settore_IA	Luogo_IA	Retribuzione_IA	Soddisfazione_Lavorativa	Soddisfazione_Laurea	Soddisfazione_Preparazione	Stage	Erasmus	Corsi_Extra	Comunicazione	Python
44	F	97	106	6	CS	Veloce	2017	2	ICT	No	Italia	1600	No	NA	NA	NA	NA	NA	NA	NA	2	4	3	0	0	0	No	No
45	F	94	102	5	Contattato	Veloce	2019	2	ICT	No	Italia	1400	No	NA	NA	NA	NA	NA	NA	NA	3	4	5	0	0	0	No	Si
46	F	100	109	6	Autonomo	Veloce	2009	NA	Data_Science	No	Italia	850	Si	NA	NA	NA	NA	Data_Science	Italia	1900	3	5	5	1	0	0	Si	No
47	F	86	102	7	Contattato	Veloce	2017	2	ICT	No	EU1	2000	No	NA	NA	NA	NA	NA	NA	NA	5	5	4	0	1	0	No	No
48	F	86	100	7	Autonomo	Veloce	2018	2	SD	No	EU1	2000	Si	NA	NA	NA	NA	ICT	EU1	2000	3	4	2	1	1	0	No	No
49	F	87	96	6	CS	Veloce	2014	2	Consulenza	No	Italia	800	Si	NA	NA	NA	NA	Consulenza	Italia	2400	4	4	4	0	0	1	No	Si
50	F	96	106	7	Phd_Tesi	Veloce	2014	1	Data_Science	No	EU2	900	No	NA	NA	NA	NA	NA	NA	NA	5	3	2	0	0	1	No	Si
51	F	101	104	6	Autonomo	Veloce	2014	3	Accademico	Si	NA	NA	NA	Italia	NA	No	4	RD	NA	1700	3	4	4	0	0	1	No	Si
52	F	98	108	5	Autonomo	Veloce	2019	3	Accademico	Si	NA	NA	NA	Europa	1500	Boh	4	NA	NA	NA	4	4	4	0	1	1	No	No
53	F	107	110	5	Autonomo	Medio	2015	NA	Accademico	Si	NA	NA	NA	Europa	1500	Si	5	Accademico	Mondo	NA	5	5	4	1	0	0	Si	No
54	F	110	109	6	Contattato	Lungo	2017	3	ICT	No	Italia	1400	No	NA	NA	NA	NA	NA	NA	NA	4	4	3	1	0	0	Si	Si
55	F	94	102	5	Autonomo	Lungo	2014	2	Accademico	Si	NA	NA	NA	Polimi	1200	Si	5	Accademico	NA	1500	4	4	4	0	1	0	No	No
56	M	98	110	5	CS	Prelaurea	2013	1	Consulenza	No	Italia	1600	Si	NA	NA	NA	NA	Finanza	EU2	8000	4	4	3	0	0	0	No	No
57	M	94	102	6	Contattato	Prelaurea	2012	3	SD	No	Italia	NA	Si	NA	NA	NA	NA	SD	EU1	NA	5	4	4	0	0	0	Si	No
58	M	103	110	5	CS	Prelaurea	2014	1	Finanza	No	Italia	850	Si	NA	NA	NA	NA	Finanza	UK	6500	5	5	5	0	0	0	Si	No
59	M	98	111	5.5	Autonomo	Prelaurea	2017	2	ICT	No	Italia	NA	No	NA	NA	NA	NA	NA	NA	NA	4	4	4	0	0	0	No	No
